"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",Latitude,Longitude,"Primary NAICS","Primary SIC","Sales Volume","Total Employees","Local Employees","Year Started"
"1201 SUSHI NAMI LLC",,"UNKNOWN: NO PHYSICAL ADDRESS AVAILABLE FROM REGISTRY",LEXINGTON,KY,40583,,"EATING PLACE",38.1362,-84.4728,722511,58120114,277925,1,1,2025
"1212 NORTH LIME LLC",,"680 TENNESSEE AVE",LEXINGTON,KY,405053918,,"EATING PLACE",38.042176,-84.471605,722511,58120112,108639,6,6,2005
"157 JEFFERSON, LLC",,"1824 RICHMOND RD",LEXINGTON,KY,405021202,,"EATING PLACE",38.024862,-84.473544,722511,58120000,73321,4,4,2010
"1792 DINING LLC",,"828 LANE ALLEN RD STE 219",LEXINGTON,KY,405043659,,"EATING PLACE",38.029164,-84.541638,722511,58120000,277925,2,2,2023
"2 CATS LEMONADE STAND LLC",,"1289 CROSS KEYS RD",LEXINGTON,KY,405042026,,"EATING PLACE",38.042936,-84.55598,722511,58120000,259779,1,1,2024
"226 KINGS ISLAND, LLC",,"1161 CHETFORD DR",LEXINGTON,KY,405092070,,"EATING PLACE",38.009066,-84.408614,722511,58120000,84438,4,4,2015
"3 BEHRS, INC.","VILLAGE IDIOT, THE","307 W SHORT ST",LEXINGTON,KY,405071203,8592520099,"EATING PLACE",38.048936,-84.498248,722511,58120101,200725,3,3,2011
"525 MCCUBBING DRIVE LLC",,"248 N BROADWAY",LEXINGTON,KY,405071072,8592533585,"EATING PLACE",38.051529,-84.495753,722511,58120000,68800,4,4,2005
"866 MALABU, LLC",,"866 MALABU DR",LEXINGTON,KY,405023404,,"EATING PLACE",37.992093,-84.495848,722511,58120000,134060,3,3,2020
"88 KY OMAKASE LLC",,"1728 SANDHURST CV",LEXINGTON,KY,405094557,,"EATING PLACE",38.040193,-84.444442,722511,58120109,65302,2,2,2021
"A D L LLC","LE DEAUVILLE RESTAURANT","199 N LIMESTONE",LEXINGTON,KY,405071122,8593217191,"EATING PLACE",38.048247,-84.494605,722511,58120500,491182,10,10,2007
